"id";"nome";"porQueAprender";"resumoTopicos";"salarioJunior";"salarioPleno";"salarioSenior";"infoMercado"
"iniciando-com-html-css";"Iniciando com HTML e CSS";"Aprenda a base da construção de páginas web, fundamental para qualquer carreira em desenvolvimento front-end. Alta demanda e possibilidades de crescimento.";"Estrutura de páginas com HTML | Estilização com CSS | Fundamentos de responsividade | Práticas de mercado";"R$ 2.000 - R$ 3.000";"R$ 4.000 - R$ 6.000";"R$ 7.000 - R$ 10.000";"Ótimas oportunidades em desenvolvimento front-end, muito requisitado em agências e empresas de tech."
"iniciando-com-programacao";"Iniciando com Programação";"Fundamentos de lógica e algoritmos. Indicado para quem quer começar do zero e entender como resolver problemas com código.";"Sintaxe básica JavaScript | Lógica de programação | Variáveis e tipos de dados | Estruturas de repetição";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Mercado aquecido para programadores iniciantes, muitas vagas em empresas de diversos segmentos."
"ambiente-desenvolvimento";"Ambiente de Desenvolvimento";"Configure corretamente seu ambiente local para desenvolvimento, economizando tempo e evitando problemas futuros.";"Instalação de ferramentas | Configuração de IDE/Editor | Gerenciamento de versões do Node | Boas práticas de setup";"R$ 2.000 - R$ 3.000";"R$ 4.000 - R$ 6.000";"R$ 7.000 - R$ 10.000";"Conhecer boas práticas de ambiente agiliza o processo de desenvolvimento e a integração em equipes."
"controlando-codigo";"Controlando Código";"Domine estruturas de controle fundamentais para criar aplicações mais sólidas e escaláveis. Essencial em qualquer linguagem.";"Estruturas condicionais (if, else) | Estruturas de repetição (for, while) | Boas práticas de lógica | Transferência de fluxo";"R$ 2.500 - R$ 3.500";"R$ 4.500 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Sólida base de lógica é altamente valorizada para evolução em qualquer stack."
"evoluindo-na-programacao";"Evoluindo na Programação";"Aprofunde-se em funções, objetos e arrays, ganhando capacidade de criar soluções mais profissionais em JavaScript.";"Funções de ordem superior | Objetos e arrays | Manipulação avançada de dados | Melhores práticas de JS";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Domínio de JavaScript avançado é diferencial para front-end e back-end."
"funcoes-em-javascript";"Funções em JavaScript";"Aprenda recursos avançados de funções em JavaScript, incluindo callbacks, map, filter e reduce, cruciais para dominar a linguagem.";"Declarações de função | Arrow functions | Funções callback | Map, filter, reduce";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Essencial para desenvolvimento web moderno, com grande demanda no mercado de front-end e Node.js."
"exercicios-js";"Exercícios JavaScript";"Pratique os fundamentos de JavaScript através de exercícios guiados e solidifique o conhecimento adquirido.";"Exercícios de lógica | Manipulação de arrays e objetos | Funções e loops | Resolução de problemas práticos";"R$ 2.000 - R$ 3.000";"R$ 4.000 - R$ 6.000";"R$ 7.000 - R$ 10.000";"Prática constante acelera a curva de aprendizado e fortalece o portfólio do desenvolvedor."
"curadoria-exercicios-inicial";"Exercícios";"Lista de desafios práticos para reforçar conceitos iniciais de programação e web.";"Desafios de lógica | Exercícios de sintaxe HTML/CSS | Aplicação prática do JavaScript";"R$ 2.000 - R$ 3.000";"R$ 4.000 - R$ 6.000";"R$ 7.000 - R$ 10.000";"Resolução de exercícios é muito valorizada em processos seletivos, pois demonstra domínio de base."
"html-css-javascript";"Integração HTML, CSS e JavaScript";"Integre as três principais tecnologias front-end para criar páginas dinâmicas e responsivas.";"Manipulação do DOM | CSS avançado | Eventos em JS | Pequena aplicação de exemplo";"R$ 2.500 - R$ 3.500";"R$ 5.000 - R$ 7.000";"R$ 8.000 - R$ 12.000";"Fundamental para quem deseja seguir carreira de front-end, grande demanda em startups e empresas."
"fundamentos-node";"Fundamentos de Node.JS";"Inicie no desenvolvimento back-end com Node.js, uma plataforma utilizada por empresas como Netflix, LinkedIn e Walmart.";"Uso de módulos | Gerenciamento de pacotes (NPM) | Criação de scripts | Projetos iniciais em Node.js";"R$ 3.000 - R$ 4.500";"R$ 6.000 - R$ 9.000";"R$ 10.000 - R$ 15.000";"Back-end com Node.js é um dos mais procurados, sendo muito utilizado em microserviços e APIs."
